,Date,Visa,Master
180,2008-12-03,0.055555556,0.029633499999999997
181,2008-12-04,-0.031083142999999997,-0.033855299
182,2008-12-05,0.046644360999999995,0.051399415
183,2008-12-08,0.056036104,0.051241793
184,2008-12-09,-0.046830484000000006,-0.027766395
185,2008-12-10,-0.0069120119999999995,0.012499056000000001
186,2008-12-11,-0.020127916000000003,-0.045793102999999995
187,2008-12-12,0.016509887,0.003252385
188,2008-12-15,-0.0037771479999999997,0.003457892
189,2008-12-16,0.038293838999999996,0.06324948400000001
190,2008-12-17,0.010772321000000001,0.003916137
191,2008-12-18,-0.011921965,0.000874428
192,2008-12-19,0.004936015,0.023721524
193,2008-12-22,-0.022193924,-0.046868846
194,2008-12-23,-0.001860465,-0.024655647000000003
195,2008-12-24,-0.01416589,0.0043073009999999995
196,2008-12-26,0.00680658,-0.009140195
197,2008-12-29,-0.02028169,-0.011282127
198,2008-12-30,-0.022618363,-0.0017941729999999998
199,2008-12-31,0.028633065,0.027607952
200,2009-01-02,0.018875119,0.047925630999999996
201,2009-01-05,0.007110778000000001,0.02323401
202,2009-01-06,0.070419918,0.05715784
203,2009-01-07,-0.021697622000000003,-0.06141211
204,2009-01-08,-0.010645848000000001,0.004668836
205,2009-01-09,-0.00251076,-0.01793435
206,2009-01-12,-0.04782452400000001,-0.01332978
207,2009-01-13,0.0033987920000000003,0.016211903
208,2009-01-14,-0.040835529,-0.034166445
209,2009-01-15,-0.03119482,-0.10323468699999999
210,2009-01-16,-0.039894694,-0.015963162
211,2009-01-20,-0.105252057,-0.07050382200000001
212,2009-01-21,0.041489862999999995,0.108407535
213,2009-01-22,0.0,-0.024602572000000003
214,2009-01-23,0.003168855,-0.026387347999999998
215,2009-01-26,-0.039034296,-0.018573137
216,2009-01-27,0.036628317,0.029564652
217,2009-01-28,0.069535674,0.054433575
218,2009-01-29,-0.020118594,-0.034191231
219,2009-01-30,0.066565809,0.051824309000000006
220,2009-02-02,0.012563323000000001,0.008837826
221,2009-02-03,-0.031618971,0.019856913
222,2009-02-04,0.015292416000000001,0.003221117
223,2009-02-05,0.093832689,0.14049241099999998
224,2009-02-06,0.031075548999999997,0.016641641999999998
225,2009-02-09,-0.0016242560000000001,-0.0029538459999999996
226,2009-02-10,-0.026572667999999997,-0.024996914
227,2009-02-11,0.020612813,0.038045197999999995
228,2009-02-12,0.026200873,-0.013294304
229,2009-02-13,-0.007978723,0.000617985
230,2009-02-17,-0.030384272,-0.042062943
231,2009-02-18,0.035023041,0.025469018
232,2009-02-19,-0.009260908,-0.02823183
233,2009-02-20,0.000539277,0.022387512000000002
